,0
592,84824314.95
593,84527607.2
594,84226837.83
595,83922083.31
596,83613423.81
597,83300942.15
598,82984714.87
599,82664819.88
600,82341339
601,82014356.6
602,81683954.51
603,81350216.69
604,81013229.27
605,80673073.79
606,80329832.84
607,79983591.94
608,79634438.66
609,79282457.78
610,78927734.21
611,78570354.97
612,78210404.43
613,77847967.35
614,77483130.38
615,77115981.6
616,76746606.17
617,76375087.52
618,76001510.62
619,75625959.89
620,75248519.91
621,74869276.23
622,74488315
623,74105719.51
624,73721569.62
625,73335945.72
626,72948929.21
627,72560602.41
628,72171047.77
629,71780347.54
630,71388581.13
631,70995823.15
632,70602147.47
633,70207629.71
634,69812348.01
635,69416380.06
636,69019802.59
637,68622689.48
638,68225108.77
639,67827126.45
640,67428810.05
641,67030231.81
642,66631463.29
643,66232574.44
644,65833632.11
645,65434696.75
646,65035825.57
647,64637076.37
648,64238513.83
649,63840202.41
650,63442204.36
651,63044578.3
652,62647376.04
653,62250645.56
654,61854434.61
655,61458799.54
656,61063797.08
657,60669481.32
658,60275902.29
659,59883102.88
660,59491121.66
661,59099996.97
662,58709777.14
663,58320511.01
664,57932244.44
665,57545018.93
666,57158868.58
667,56773822.88
668,56389911.05
669,56007173.5
670,55625651.34
671,55245382.4
672,54866400.02
673,54488729.97
674,54112393.2
675,53737410.43
676,53363814.55
677,52991639.28
678,52620915
679,52251667.46
680,51883914.79
681,51517670.22
682,51152946.86
683,50789770.67
684,50428168.65
685,50068164.46
686,49709777.11
687,49353018.02
688,48997893.72
689,48644410.77
690,48292589.09
691,47942449.83
692,47594010.88
693,47247285.96
694,46902281.38
695,46558998.13
696,46217437.11
697,45877612.87
698,45539541.64
699,45203236.58
700,44868707.18
701,44535955.92
702,44204979.59
703,43875773.38
704,43548345.29
705,43222707.46
706,42898869.27
707,42576836.8
708,42256609.87
709,41938182.19
710,41621544.98
711,41306700.33
712,40993657.12
713,40682421.85
714,40372998.16
715,40065384.27
716,39759572.01
717,39455550.21
718,39153316.08
719,38852875.94
720,38554234.35
721,38257393.39
722,37962350.69
723,37669097.3
724,37377621.12
725,37087915.71
726,36799985.43
727,36513833.77
728,36229462.06
729,35946868.12
730,35666043.31
731,35386975.72
732,35109656.68
733,34834089.01
734,34560275.85
735,34288218.51
736,34017915.26
737,33749358.33
738,33482536.89
739,33217441.45
740,32954073.71
741,32692437.01
742,32432533.2
743,32174361.43
744,31917915.21
745,31663185.38
746,31410163.96
747,31158853.24
748,30909257.36
749,30661365.53
750,30415113.14
751,30170426.38
752,29927236.01
753,29685479.55
754,29445109.25
755,29206084.21
756,28968367.47
757,28731925.57
758,28496728.23
759,28262747.9
760,28029961.76
761,27798358.78
762,27567932.8
763,27338679.97
764,27110598.39
765,26883687.88
766,26657949.56
767,26433387.67
768,26210015.68
769,25987850.28
770,25766909.16
771,25547210.74
772,25328773.94
773,25111617.89
774,24895763.44
775,24681238.45
776,24468072.63
777,24256295.64
778,24045936.9
779,23837025.33
780,23629589.2
781,23423657.36
782,23219263.8
783,23016443.24
784,22815229.56
785,22615655.6
786,22417753.04
787,22221552.2
788,22027082.85
789,21834378.24
790,21643471.88
791,21454395.88
792,21267180.78
793,21081855.49
794,20898447.18
795,20716981.49
796,20537486.08
797,20359988.86
798,20184515.96
799,20011091.71
800,19839738.55
801,19670476.96
802,19503325.48
803,19338303.39
804,19175430.26
805,19014723.87
806,18856200.04
807,18699872.7
808,18545753.77
809,18393853.15
810,18244180.55
811,18096746.05
812,17951557.99
813,17808622.9
814,17667945.51
815,17529528.68
816,17393373.32
817,17259479.63
818,17127848.13
819,16998477.91
820,16871366.45
821,16746509.59
822,16623901.6
823,16503535.03
824,16385401.42
825,16269492.59
826,16155799.28
827,16044310.84
828,15935015.33
829,15827899.53
830,15722948.78
831,15620147.47
832,15519480.1
833,15420930.4
834,15324481.04
835,15230113.71
836,15137809.16
837,15047547.06
